node_id,id,position
282474384,25895788,0
282474385,25895788,1
282473509,25895788,2
320896295,29178837,0
320894299,29178837,1
320894307,29178837,2
320894319,29178837,3
320894324,29178837,4
320894327,29178837,5
320894328,29178837,6
340109574,30803075,0
341234831,30803075,1
341234832,30803075,2
341234835,30803075,3
340109901,30803075,4
387155347,33803505,0
387155348,33803505,1
387155349,33803505,2
387155350,33803505,3
387155351,33803505,4
495159124,40745413,0
495159122,40745413,1
530659490,42491092,0
754515307,42491092,1
537954894,42941180,0
1412760006,42941180,1
1529230978,42941180,2
2271573753,42941180,3
537956652,42941180,4
537956650,42941180,5
537956648,42941180,6
2271573747,42941180,7
537956647,42941180,8
2287116863,42941180,9
1758755928,42941180,10
2271573742,42941180,11
537956641,42941180,12
537956782,42941180,13
2271573738,42941180,14
537956776,42941180,15
537956774,42941180,16
537956773,42941180,17
2271573733,42941180,18
537956770,42941180,19
2287116894,42941180,20
537956765,42941180,21
2271573728,42941180,22
2271573726,42941180,23
537956763,42941180,24
537956760,42941180,25
2271573722,42941180,26
537956757,42941180,27
2271602809,42941180,28
2271573718,42941180,29
537956842,42941180,30
559268891,43977772,0
559268892,43977772,1
559268893,43977772,2
559268894,43977772,3
559268891,43977772,4
606843187,47691618,0
2083987805,47691618,1
1408034617,47691618,2
1408034640,47691618,3
1408034655,47691618,4
1408034684,47691618,5
695071831,55334711,0
695071832,55334711,1
695071833,55334711,2
695071834,55334711,3
695071835,55334711,4
695071836,55334711,5
695071870,55334711,6
695071837,55334711,7
695071839,55334711,8
695071840,55334711,9
695071841,55334711,10
695071321,55334711,11
733859020,59174592,0
2455736050,59174592,1
2455736047,59174592,2
733858789,59174592,3
746856539,60110810,0
1760770181,60110810,1
746856369,60110810,2
943051455,80899825,0
943051457,80899825,1
943051461,80899825,2
943051464,80899825,3
943051468,80899825,4
943051472,80899825,5
943051476,80899825,6
943051477,80899825,7
943051479,80899825,8
943051480,80899825,9
943051481,80899825,10
943051483,80899825,11
943051485,80899825,12
943051487,80899825,13
943051489,80899825,14
943051492,80899825,15
943051496,80899825,16
943051500,80899825,17
943051503,80899825,18
943051505,80899825,19
943051514,80899825,20
943051516,80899825,21
943051519,80899825,22
943051521,80899825,23
943051524,80899825,24
943051528,80899825,25
943051530,80899825,26
943051533,80899825,27
943051535,80899825,28
943051537,80899825,29
943051539,80899825,30
943051542,80899825,31
943051546,80899825,32
943051549,80899825,33
943051554,80899825,34
943051556,80899825,35
943051559,80899825,36
943051562,80899825,37
943051565,80899825,38
943051568,80899825,39
943051573,80899825,40
943051577,80899825,41
943051582,80899825,42
943051587,80899825,43
943051589,80899825,44
943051597,80899825,45
943051601,80899825,46
943051604,80899825,47
943051609,80899825,48
943051612,80899825,49
943051615,80899825,50
943051618,80899825,51
943051620,80899825,52
943051623,80899825,53
943051627,80899825,54
943051630,80899825,55
943051632,80899825,56
943051634,80899825,57
943051637,80899825,58
943051639,80899825,59
943051641,80899825,60
943051644,80899825,61
943051647,80899825,62
943051455,80899825,63
