node_id,type,id,position,role
1583578426,node,1959713,0,stop
1583578423,node,1959713,1,stop
1583578419,node,1959713,2,stop
1583578414,node,1959713,3,stop
144868219,way,1959713,4,platform
144868218,way,1959713,5,platform
144868217,way,1959713,6,platform
144868215,way,1959713,7,platform
1583217929,node,1959713,8,stop
1583578410,node,1959713,9,stop
144868220,way,1959713,10,platform
144868214,way,1959713,11,platform
1583578407,node,1959713,12,stop
144868216,way,1959713,13,platform
1841740748,node,1959713,14,stop
1841740749,node,1959713,15,stop
173338989,way,1959713,16,platform
173338983,way,1959713,17,platform
1841740750,node,1959713,18,stop
1841740729,node,1959713,19,platform
1841740751,node,1959713,20,stop
1841740730,node,1959713,21,platform
1841740752,node,1959713,22,stop
173338993,way,1959713,23,platform
262773384,node,1959713,24,stop
2586767237,node,1959713,25,platform
161701283,way,2165636,0,platform
1736610798,node,2165636,1,stop
1736610802,node,2165636,2,stop
161701285,way,2165636,3,platform
1852486132,node,2331026,0,platform
1852486494,node,2331026,1,stop
2207736787,node,2901173,0,stop
219329764,way,2901173,1,platform
2284943468,node,2901173,2,stop
2284943347,node,2901173,3,platform
2284943479,node,2901173,4,stop
219328052,way,2901173,5,platform
1851958285,node,2901173,6,stop
2284943294,node,2901173,7,platform
1851958208,node,2901173,8,stop
219328055,way,2901173,9,platform
2284846435,node,2901173,10,stop
219318313,way,2901173,11,platform
2284754077,node,2901173,12,stop
219294675,way,2901173,13,platform
2284754079,node,2901173,14,stop
219294680,way,2901173,15,platform
1851958118,node,2901173,16,stop
2284753866,node,2901173,17,platform
2284754085,node,2901173,18,stop
2284753849,node,2901173,19,platform
2284666919,node,2901173,20,stop
219291894,way,2901173,21,platform
2284637398,node,2901173,22,stop
219289491,way,2901173,23,platform
2284637388,node,2901173,24,stop
2284637301,node,2901173,25,platform
2284637408,node,2901173,26,stop
2284637290,node,2901173,27,platform
2284973437,node,2901173,28,stop
2284973432,node,2901173,29,platform
2284973436,node,2901173,30,stop
2284973429,node,2901173,31,platform
2284989077,node,2901173,32,stop
2284989068,node,2901173,33,platform
2284989074,node,2901173,34,stop
2284989064,node,2901173,35,platform
2284989079,node,2901173,36,stop
2284989050,node,2901173,37,platform
2284989070,node,2901173,38,stop
2284989044,node,2901173,39,platform
219329768,way,2901173,40,
219329775,way,2901173,41,
219329758,way,2901173,42,
219329771,way,2901173,43,
159524540,way,2901173,44,
174524073,way,2901173,45,
174524130,way,2901173,46,
174524084,way,2901173,47,
174524133,way,2901173,48,
219289505,way,2901173,49,
182540291,way,2901173,50,
219289502,way,2901173,51,
219289500,way,2901173,52,
159524552,way,2901173,53,
174161334,way,2901173,54,
159524591,way,2901173,55,
159524597,way,2901173,56,
159524598,way,2901173,57,
159524594,way,2901173,58,
159524537,way,2901173,59,
159524536,way,2901173,60,
174149416,way,2901173,61,
27083802,way,2901173,62,
174149417,way,2901173,63,
27083800,way,2901173,64,
27083791,way,2901173,65,
27083794,way,2901173,66,
201293015,way,2901173,67,
219330753,way,2901173,68,
219330754,way,2901173,69,
219332001,way,2901173,70,
2509408829,node,3292620,0,stop
2509408816,node,3292620,1,platform
